audit_id,rater_id,overall_failure
AUD-0164,RATER-01,false
AUD-0165,RATER-01,false
AUD-0166,RATER-01,false
AUD-0167,RATER-01,false
AUD-0168,RATER-01,false
AUD-0169,RATER-01,false
AUD-0170,RATER-01,false
AUD-0171,RATER-01,false
AUD-0172,RATER-01,false
AUD-0173,RATER-01,false
AUD-0174,RATER-01,false
AUD-0175,RATER-01,false
AUD-0176,RATER-01,false
AUD-0177,RATER-01,false
AUD-0178,RATER-01,false
AUD-0179,RATER-01,false
AUD-0180,RATER-01,false
AUD-0181,RATER-01,false
AUD-0182,RATER-01,false
AUD-0183,RATER-01,false
AUD-0184,RATER-01,false
AUD-0185,RATER-01,false
AUD-0186,RATER-01,false
AUD-0187,RATER-01,false
AUD-0188,RATER-01,false
AUD-0189,RATER-01,false
AUD-0190,RATER-01,false
AUD-0191,RATER-01,false
AUD-0192,RATER-01,false
AUD-0193,RATER-01,false
AUD-0194,RATER-01,false
AUD-0195,RATER-01,false
AUD-0196,RATER-01,false
AUD-0197,RATER-01,false
AUD-0198,RATER-01,false
AUD-0199,RATER-01,false
AUD-0200,RATER-01,false
AUD-0201,RATER-01,false
AUD-0202,RATER-01,false
AUD-0203,RATER-01,false
AUD-0204,RATER-01,false
AUD-0205,RATER-01,false
AUD-0206,RATER-01,false
AUD-0207,RATER-01,false
AUD-0208,RATER-01,false
AUD-0209,RATER-01,false
AUD-0210,RATER-01,false
AUD-0211,RATER-01,false
AUD-0212,RATER-01,false
AUD-0213,RATER-01,false
AUD-0214,RATER-01,false
AUD-0215,RATER-01,false
AUD-0216,RATER-01,false
AUD-0217,RATER-01,false
AUD-0218,RATER-01,false
AUD-0219,RATER-01,false
AUD-0220,RATER-01,false
AUD-0221,RATER-01,false
AUD-0222,RATER-01,false
AUD-0223,RATER-01,false
AUD-0224,RATER-01,false
AUD-0225,RATER-01,false
AUD-0226,RATER-01,false
AUD-0227,RATER-01,false
AUD-0228,RATER-01,false
AUD-0229,RATER-01,false
AUD-0230,RATER-01,false
AUD-0231,RATER-01,false
AUD-0232,RATER-01,false
AUD-0233,RATER-01,false
AUD-0234,RATER-01,false
AUD-0235,RATER-01,false
AUD-0236,RATER-01,false
AUD-0237,RATER-01,false
AUD-0238,RATER-01,false
AUD-0239,RATER-01,false
AUD-0240,RATER-01,false
AUD-0241,RATER-01,false
AUD-0242,RATER-01,false
AUD-0243,RATER-01,false
AUD-0244,RATER-01,false
AUD-0245,RATER-01,false
AUD-0246,RATER-01,false
AUD-0247,RATER-01,false
AUD-0248,RATER-01,false
AUD-0249,RATER-01,false
AUD-0250,RATER-01,false
AUD-0251,RATER-01,false
AUD-0252,RATER-01,false
AUD-0253,RATER-01,false
AUD-0254,RATER-01,false
AUD-0255,RATER-01,false
AUD-0256,RATER-01,false
AUD-0257,RATER-01,false
AUD-0258,RATER-01,false
AUD-0259,RATER-01,false
AUD-0260,RATER-01,false
AUD-0261,RATER-01,false
AUD-0262,RATER-01,false
AUD-0263,RATER-01,false
AUD-0264,RATER-01,false
AUD-0265,RATER-01,false
AUD-0266,RATER-01,false
AUD-0267,RATER-01,false
AUD-0268,RATER-01,false
AUD-0269,RATER-01,false
AUD-0270,RATER-01,false
AUD-0271,RATER-01,false
AUD-0272,RATER-01,false
AUD-0273,RATER-01,false
AUD-0274,RATER-01,false
AUD-0275,RATER-01,false
AUD-0276,RATER-01,false
AUD-0277,RATER-01,false
AUD-0278,RATER-01,false
AUD-0279,RATER-01,false
AUD-0280,RATER-01,false
AUD-0281,RATER-01,false
AUD-0282,RATER-01,false
AUD-0283,RATER-01,false
AUD-0284,RATER-01,false
AUD-0285,RATER-01,false
AUD-0286,RATER-01,false
AUD-0287,RATER-01,false
AUD-0288,RATER-01,false
AUD-0289,RATER-01,false
AUD-0290,RATER-01,false
AUD-0291,RATER-01,false
AUD-0292,RATER-01,false
AUD-0293,RATER-01,false
AUD-0294,RATER-01,false
AUD-0295,RATER-01,false
AUD-0296,RATER-01,false
AUD-0297,RATER-01,false
AUD-0298,RATER-01,false
AUD-0299,RATER-01,false
AUD-0300,RATER-01,false
AUD-0301,RATER-01,false
AUD-0302,RATER-01,false
AUD-0303,RATER-01,false
AUD-0304,RATER-01,false
AUD-0305,RATER-01,false
AUD-0306,RATER-01,false
AUD-0307,RATER-01,false
AUD-0308,RATER-01,false
AUD-0309,RATER-01,false
AUD-0310,RATER-01,false
AUD-0311,RATER-01,false
AUD-0312,RATER-01,false
AUD-0313,RATER-01,false
AUD-0314,RATER-01,false
AUD-0315,RATER-01,false
AUD-0316,RATER-01,false
AUD-0317,RATER-01,false
AUD-0318,RATER-01,false
AUD-0319,RATER-01,false
AUD-0320,RATER-01,false
AUD-0321,RATER-01,false
AUD-0322,RATER-01,false
AUD-0323,RATER-01,false
AUD-0324,RATER-01,false
